,summary,description,location,photo,recomendado,price,size,rooms,price/m2,bathrooms,Num Photos,type,region
0,Casa en calle Urb. Las Mimosas,,Ames (San Tome),https://fotos4.imghs.net/nrd/1069/104/1069_I000163-C000104_1_2020051508211031250.jpg,Recomendado,250.000 €,315 m²,4,793 €/m²,3,31,pisos,a_coruna
1,Piso en Milladoiro,,Ames (San Tome),https://fotos4.imghs.net/nrd/1069/113/1069_I000163-P000113_1_2020051508211031250.jpg,Recomendado,90.000 €,72 m²,2,1.250 €/m²,1,11,pisos,a_coruna
2,Casa en calle La Piedra,,A Ortigueira (Cariño),https://fotos1.imghs.net/nrd//999170/89207061010.999170/999170_89207061010_1_20181116113010770.jpg,Recomendado,50.000 €,92 m²,2,543 €/m²,1,40,pisos,a_coruna
3,Casa en Perillo,,Perillo (Oleiros),https://fotos3.imghs.net/nrd/1089/198/1089_XA27-02198_37_2020091105210631250.jpg,Recomendado,359.000 €,244 m²,4,1.471 €/m²,3,39,pisos,a_coruna
4,Chalet en Urbanización Las Mimosas,,O Milladoiro (Ames),https://fotos5.imghs.net/nrd/1097/754/1097_0_foto_20170829150148980_945856909272754.jpg,Recomendado,200.430 €,315 m²,4,636 €/m²,3,24,pisos,a_coruna
5,Casa en Bergondiño,,Bergondo (Carrio),https://fotos2.imghs.net/nrd/1089/641/1089_XA27-00641_1_2018101815211031250.jpg,Recomendado,320.000 €,226 m²,4,1.415 €/m²,3,21,pisos,a_coruna
6,Casa adosada en calle de Fernández Flórez,,Cariño,https://fotos2.imghs.net/nrd/1097/802/1097_0_foto_20180620110114176_945856909509802.jpg,Recomendado,120.000 €,196 m²,5,612 €/m²,2,65,pisos,a_coruna
7,Apartamento en Cuatro Caminos,,Catro Camiños-A Gaiteira (A Coruña Capital),https://fotos2.imghs.net/nrd/1089/205/1089_XA27-02205_2_2020093015210431250.jpg,Recomendado,102.000 €,48 m²,1,2.125 €/m²,1,10,pisos,a_coruna
8,Casa en Santa Marta,,Bergondo (Carrio),https://fotos2.imghs.net/nrd/1089/692/1089_XA27-01692_3_2020102505195431250.jpg,Recomendado,285.000 €,300 m²,4,950 €/m²,4,32,pisos,a_coruna
9,"Piso en calle de la Laguna, nº 35",,Sada,https://fotos1.imghs.net/nrd//1018/546/1018_25187546_1_2020102105103518216.jpg,Recomendado,49.000 €,82 m²,4,597 €/m²,1,16,pisos,a_coruna
10,Piso en Fontiñas,,Concheiros-Fontiñas (Santiago de Compostela),https://fotos4.imghs.net/nrd/1067/700/1067_IFC7585-0508372700_2_2019091010244431250.jpg,Recomendado,260.000 €,105 m²,3,2.476 €/m²,2,15,pisos,a_coruna
11,Piso en calle de Cadaval,,Piñeiros-Freixeiro (Narón),https://fotos3.imghs.net/nrd//4210/728695089.421000/4210_001155_foto_1_728695089_20170919112005.jpg,Recomendado,109.000 €,96 m²,3,1.135 €/m²,2,9,pisos,a_coruna
12,Chalet en Outeiro Do Castiñeiriño,,Conxo-Castiñeiriño (Santiago de Compostela),https://fotos4.imghs.net/nrd/1067/258/1067_IFC7585-0516305258_8_2020060410180931250.jpg,Recomendado,360.000 €,292 m²,5,1.232 €/m²,3,25,pisos,a_coruna
13,Piso en Rúa Rabazal,,A Carreira (Miño),https://fotos1.imghs.net/nrd/1097/263/1097_0_foto_20180406184514223_945856909449263.jpg,Recomendado,118.000 €,85 m²,3,1.388 €/m²,2,41,pisos,a_coruna
14,Casa pareada en calle Virxe Da Cerca,,Centro Histórico (Santiago de Compostela),https://fotos1.imghs.net/nrd/1001/313/1001_PX987_-_412057-03687-90128313_1_2020070301074931250.jpg,Recomendado,495.000 €,348 m²,9,1.422 €/m²,3,40,pisos,a_coruna
15,"Dúplex en Avenida de Bilbao, nº 8",,Conxo-Castiñeiriño (Santiago de Compostela),https://fotos5.imghs.net/nrd/1001/038/1001_PX987_-_412057-03561-85385038_1_2019051101135131250.jpg,Recomendado,400.000 €,160 m²,5,2.500 €/m²,2,37,pisos,a_coruna
16,Piso en Avenida de Rosalia de Castro,,Sada,https://fotos2.imghs.net/nrd//1018/680/1018_20070680_1_2020020919023072418.jpg,Recomendado,90.000 €,91 m²,2,989 €/m²,2,17,pisos,a_coruna
